Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Telefax,Número de camas instaladas,Dependencia Patrimonial,Dependencia Funcional,Finalidad Asistencial,Observaciones,Concierto,Acreditación Docente
380282,HOSPITAL QUIRÓN COSTA ADEJE,CANARIAS,SANTA CRUZ DE TENERIFE,Adeje,Urbanización San Eugenio,38660,922752626,922796570,50,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO
260110,CENTRO ASISTENCIAL DE ALBELDA,LA RIOJA,LA RIOJA,Albelda de Iregua,Crta. Soria Km. 8,26120,941279220,941279209,140,COMUNIDAD AUTÓNOMA,SERVICIO RIOJANO DE SALUD,PSIQUIATRICO,,NO,NO
280745,HOSPITAL UNIVERSITARIO PRÍNCIPE DE ASTURIAS,MADRID,MADRID,Alcalá de Henares,"Ctra. Alcalá-Meco, s/n",28805,918878100,918801825,507,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,SI
281371,HM VALLES,MADRID,MADRID,Alcalá de Henares,C/ Santiago 14,28801,917374353,912805932,20,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,OTRA FINALIDAD,,SI,SI
230184,HOSPITAL DE ALTA RESOLUCIÓN DE ALCALÁ LA REAL,ANDALUCÍA,JAÉN,Alcalá la Real,"Avda. Iberoamérica, s/n",23680,953599008,953599058,28,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,GENERAL,,NO,NO
300119,"CLÍNICA MÉDICO-QUIRÚRGICA SAN JOSÉ, S.A.",REGIÓN DE MURCIA,MURCIA,Alcantarilla,"Maestra Lola Meseguer, s/n",30820,968800600,968800347,142,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,MEDICO-QUIRURGICO,,SI,NO
440048,HOSPITAL DE ALCAÑIZ,ARAGÓN,TERUEL,Alcañiz,"Dr. Repollés, 2",44600,978830100,978830977,125,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,GENERAL,,NO,SI
230173,HOSPITAL DE ALTA RESOLUCION DE ALCAUDETE,ANDALUCÍA,JAÉN,Alcaudete,"Camino Viejo de la Fuensanta, 2",23660,953368211,953368287,16,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,NO
130052,HOSPITAL GENERAL LA MANCHA CENTRO,CASTILLA-LA MANCHA,CIUDAD REAL,Alcázar de San Juan,"Avenida de la Constitución, 3",13600,926580500,926547700,343,SEGURIDAD SOCIAL,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,GENERAL,,NO,SI
281124,HOSPITAL SUR,MADRID,MADRID,Alcorcón,"Estambul, 30",28922,916496600,916496604,91,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,MEDICO-QUIRURGICO,,SI,NO
