Nombre,Comunidad Autónoma,Provincia,Municipio,Localidad,Direccion,Código Postal,Telefono,Zona Básica,Área de Salud,Modalidad Gestión,Dependencia de Gestión,Tipo de Centro,Acreditación Docente
ABEGONDO,GALICIA,A CORUÑA,Abegondo,ABEGONDO (SANTA EULALIA),"LUGAR CAMPO DA FEIRA, S/N",15318,981673330,ABEGONDO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MUNIFERRAL,GALICIA,A CORUÑA,Aranga,MUNIFERRAL (SAN CRISTOVO),LUGAR VILA,15317,981793573,ARANGA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
A CASTELLANA,GALICIA,A CORUÑA,Aranga,VILARRASO (SAN LOURENZO),"LUGAR VILLARRASO, S/N",15317,981789514,ARANGA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
VILARRODÍS,GALICIA,A CORUÑA,Arteixo,VILARRODÍS,"RÚA AGUCEIRA, Nº 8",15141,981082200,ARTEIXO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
MEICENDE,GALICIA,A CORUÑA,Arteixo,PASTORIZA (SANTA MARÍA),"TRAVESÍA DE MEICENDE, Nº 54",15140,981148071,ARTEIXO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
ARTEIXO,GALICIA,A CORUÑA,Arteixo,ARTEIXO (SANTIAGO),"TRAVESIA ARTEIXO, Nº 278",15142,981640364,ARTEIXO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
GUISAMO,GALICIA,A CORUÑA,Bergondo,GUISAMO (SANTA MARÍA),"C/ RÚA NUEVA, S/N",15640,981795621,BERGONDO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
BERGONDO,GALICIA,A CORUÑA,Bergondo,BERGONDO (SAN SALVADOR),"LUGAR SAN ISIDRO, S/N",15165,981794320,BERGONDO,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
BETANZOS,GALICIA,A CORUÑA,Betanzos,BETANZOS,"AVENIDA DO CARREGAL, Nº 17",15300,981772556,BETANZOS,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
NANTON,GALICIA,A CORUÑA,Cabana de Bergantiños,NANTON (SAN PEDRO),"LUGAR PEDRA (A), S/N",15149,981734957,CABANA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CONSULTORIO LOCAL,NO
CESULLAS,GALICIA,A CORUÑA,Cabana de Bergantiños,CESULLAS (SAN ESTEBAN),"LUGAR REVOLTAS (AS), S/N",15115,981754282,CABANA,A CORUÑA,Pública Directa,SERVIZO GALEGO DE SAÚDE,CENTRO SALUD,NO
