Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
66875;F08000025;BERTRAN AMBROS, ROSA MARIA;PUIG-REIG;SANT JORDI;8692;CARRER;11;938290385;BAIX BERGUEDA
66876;F08000032;ABRIL GARCIA, MARIA;ARENYS DE MAR;BISBE POL;8350;RIERA;72;937923301;ARENYS DE MAR
66877;F08000040;RIGOLA GARROFE, DOLÇA;ARENYS DE MAR;ESGLESIA;8350;PLAÇA;3;937920237;ARENYS DE MAR
66878;F08000057;MIAS NAVARRO, MIREIA;ARENYS DE MUNT;SANT MARTI;8358;RAMBLA;56;937938201;ARENYS DE MAR
66879;F08000064;GUILLEN VIDAL, M NURIA;ARGENTONA;GRAN;8310;CARRER;22;937971262;ARGENTONA
66880;F08000071;BOIXAREU CARRERA,M.ANGELS;ARTES;ROCAFORT;8271;CARRER;26;938305265;ARTES*
66881;F08000089;MIMO CALLIS, LLUIS;AIGUAFREDA;RIBES;8591;CARRETERA;25;938440809;GARRIGA,LA*
66882;F08000096;JOFRESA PRATS, E/PORTILLO SAAVEDRA, P;BADALONA;PRIM;8911;CARRER;156;933840455;BADALONA 2
66883;F08000106;JIMENEZ GONZALEZ/GONZALEZ NUÑEZ;BADALONA;CANONGE BARANERA;8911;CARRER;60;933840453;BADALONA 2
66884;F08000113;AGUILAR CALVO, ADELA;BADALONA;FRANCESC LAYRET;8911;CARRER;83;933895208;BADALONA 2
66885;F08000120;SALLA CLAROS, JOSEPA;BADALONA;MARQUES DE SANT MORI;8913;AVINGUDA;16 bis;933887301;BADALONA 6
66886;F08000138;FAURA MONGUIO,MONTSERRAT;BADALONA;ALFONS XIII;8915;AVINGUDA;256;933870343;BADALONA 7-B (LA SALUT)
66887;F08000145;BOSCASA SANCHEZ-PASCUALA, EVA;BADALONA;ALFONS XIII;8913;AVINGUDA;615;933873194;BADALONA 5
66888;F08000152;PRAT MONGUIO, SALOME;BADALONA;PEP VENTURA;8912;PLAÇA;3;933872193;BADALONA 3
66889;F08000160;PRAT MARTORI, ANNA;BADALONA;FRANCESC MACIA;8912;CARRER;94-96;933870647;BADALONA 3
66890;F08000177;BERNAT BARRIGA, M.MONTSERRAT;BADALONA;CONQUESTA;8912;CARRER;53;933842906;BADALONA 3
66891;F08000184;VALERO BARLABE, FRANCESC X.;BADALONA;GUIFRE;8912;CARRER;184;933830657;BADALONA 3
66892;F08000191;GARCIA-VELA GRACE, MARTA;BADALONA;PIUS XII;8913;CARRER;01-jul;933876154;BADALONA 6
66893;F08000201;SEGARRA DOLSET, SILVIA;BADALONA;ALFONS  XIII;8918;AVINGUDA;555;933872749;BADALONA 5
66894;F08000219;SERENTILL TOST, SALVADOR;BADALONA;MAR;8911;CARRER;23;933841233;BADALONA 2
66895;F08000226;TORRAS SURROCA, SARA M;BADALONA;MAR;8911;CARRER;76;933845614;BADALONA 2
66896;F08000233;FERRER FONT,M/ CLAPES ARQUER, A.M.;BADALONA;MARTI PUJOL;8912;AVINGUDA;133;933844806;BADALONA 2
66897;F08000240;IGLESIAS LLAGOSTERA, ALBERT;BALSARENY;BERGA;8660;CARRETERA;2;938396128;NAVAS/BALSARENY*
66898;F08000258;COSP BOIXADER, MARIA;BERGA;DE LA PAU;8600;PASSEIG;55;938210125;BERGA
66899;F08000265;VILA CALONGE MA. CRISTINA;BERGA;CIUTAT;8600;CARRER;41;938210518;BERGA
66900;F08000272;SAZ CARAZO, NEUS;BERGA;DEL CANAL INDUSTRIAL;8600;AVINGUDA;14-18;938210135;BERGA
66901;F08000280;ALVAREZ DE LA CAMPA FAYOS,ALVAR;BERGA;GRAN VIA;8600;CARRER;28;938210402;BERGA
66902;F08000297;FONT SABALA, MERITXELL;CALAF;SANTA CALAMANDA;8280;PASSEIG;7;938698506;CALAF*
66903;F08000307;CODINA SAMPERA, SALVADOR;CALDES DE MONTBUI;FORN;8140;CARRER;7;938650097;CALDES DE MONTBUI*
66904;F08000314;TIBAU MAYNOU,RAFEL;CALDES DE MONTBUI;PI I MARGALL;8140;AVINGUDA;36-38;938650146;CALDES DE MONTBUI*
66905;F08000321;AREALES VERA, CESAREO;CALDES D'ESTRAC;LA RIERA;8393;CARRER;20;937912732;SANT ANDREU DE LLAVANERES
66906;F08000353;NOE NADAL, AGUSTI;CALELLA;ESGLESIA;8370;CARRER;116;937690791;CALELLA
66907;F08000360;MARTINEZ ALVAREZ, EMILIO;CANET DE MAR;GAVARRA;8360;RIERA;23;937940045;CANET DE MAR
66908;F08000378;CODINA SABATER, MARTA;CAPELLADES;VERDAGUER;8786;PLAÇA;3;938010082;CAPELLADES
66909;F08000385;AUQUE REGAÑO, BERNAT;CARDEDEU;SANT ANTONI;8440;CARRER;11;938461071;CARDEDEU
66910;F08000392;FORES JOVER, MARIA CINTA;CARDEDEU;DIAGONAL FIVALLER;8440;CARRER;8;938461169;CARDEDEU
66911;F08000402;SALA  ESTEBAN, JOSEP M.;CARDONA;DEL CAMBRAS;8261;CARRER;5;938691165;CARDONA*
66912;F08000427;SALA QUERALT,MANUEL/SALA ARNAU,MARIA;CARDONA;MERCAT;8261;PLAÇA;1;938691049;CARDONA*
66913;F08000434;RODRIGUEZ YANGÜELA, TANIA;CASTELLAR DEL VALLES;TORRAS;8211;CARRER;2;937145289;CASTELLAR DEL VALLES
66914;F08000441;ROS CASANOVAS, ROSALINA;CASTELLAR DEL VALLES;SANT ESTEVE;8211;AVINGUDA;3;937145233;CASTELLAR DEL VALLES
66915;F08000459;ESCUDERO MARTINEZ, PASCUAL/ESCUDERO PORTERA,MONICA;CASTELLBISBAL;ESGLESIA;8755;PLAÇA;8;937720134;CASTELLBISBAL
66916;F08000466;CARRION RIBAS, JOAN ANTON;CASTELLTERÇOL;DE MIG;8183;CARRER;1;938668033;MOIA
66917;F08000473;GUILLERMO MARTINEZ, ANTONIO;CASTELLBELL I EL VILAR;CATALUNYA;8296;AVINGUDA;4B;938282179;MONTSERRAT
66918;F08000480;FELIU TORRENT, IMMACULADA;CENTELLES;SOCOS;8540;CARRER;2;938810182;CENTELLES
66919;F08000498;BARNOLAS PUIGBO, MARIA PILAR;CENTELLES;NOU;8540;CARRER;7;938810985;CENTELLES
66920;F08000508;COPETE PERALTA`, JAVIER/QUERO GUERRERO, M.CARMEN;CORNELLA DE LLOBREGAT;RUBIO I ORS;8940;CARRER;182;934744572;CORNELLA DE LLOBREGAT 1
66921;F08000515;GELABERT CAMPRUBI, RAMON;CORNELLA DE LLOBREGAT;RUBIO i ORS;8940;CARRER;128;933770011;CORNELLA DE LLOBREGAT 1
66922;F08000522;LOPEZ-YBARRA FLORES, ROCIO;ESPARREGUERA;AJUNTAMENT;8292;PLAÇA;14;937771144;ESPARREGUERA
66923;F08000530;FLORENSA BERENGUER, MIREIA;ESPARREGUERA;GRAN;8292;CARRER;33;937771189;ESPARREGUERA
66924;F08000547;SANS BALLESTER, SILVIA;ESPLUGUES DE LLOBREGAT;ANGEL GUIMERA;8950;CARRER;130;933710393;ESPLUGUES DE LLOBREGAT 2
66925;F08000554;JENE BORRAS, FRANCESC;ESPLUGUES DE LLOBREGAT;ANGEL GUIMERA;8950;CARRER;9;933718877;ESPLUGUES DE LLOBREGAT 2
66926;F08000579;COMAPOSADA BERINGUES, JOSEFINA;LA GARRIGA;CENTRE;8530;CARRER;29;938718314;GARRIGA,LA*
66927;F08000586;SUÑOL GENIS, MARTI;LA GARRIGA;CENTRE;8530;CARRER;10;938714686;GARRIGA,LA*
66928;F08000593;MUÑOZ MENDEZ, DANIEL;GAVA;JOAQUIM VAYREDA;8850;RAMBLA;24;936620388;GAVA 2
66929;F08000603;LEON CRISTOBAL, LUCIA;GAVA;DIAGONAL;8850;CARRER;7;936620144;GAVA 2
66930;F08000610;RIBAL BARRERA, MARIA EVA;GELIDA;MAJOR;8790;CARRER;8;937790003;MARTORELL RURAL
66931;F08000628;BOVET PLA, M. TURA/FRANCH MASFERRER, ANGELS;GIRONELLA;CATALUNYA;8680;AVINGUDA;30;938250082;BAIX BERGUEDA
66932;F08000635;GUIXE SIMON, XAVIER;GIRONELLA;CATALUNYA;8680;AVINGUDA;53;938250177;BAIX BERGUEDA
66933;F08000642;ARIMANY BARCELO, MARINA;GRANOLLERS;JOSEP MALUQUER i SALVADOR;8400;PLAÇA;11;938794029;GRANOLLERS 3-CENTRE EST
