Nombre;Dirección;Municipio;Código_Postal;Provincia;Teléfono;Categoria
MERANGES                  ;PL. CORRAL, S/N                                                       ;Meranges                                ;17539          ;GIRONA         ;972881786      ;ABS
PUIGCERDÀ                 ;PL. DE SANTA MARIA, Nº 1                                              ;Puigcerdà                               ;17520          ;GIRONA         ;972880150      ;ABS
GUILS DE CERDANYA         ;C/ MALET, Nº 12                                                       ;Guils de Cerdanya                       ;17528          ;GIRONA         ;972881786      ;ABS
GER                       ;C/ DEL REC, Nº 2                                                      ;Ger                                     ;17539          ;GIRONA         ;972881786      ;ABS
BOLVIR                    ;C/ CAMÍ REIAL, Nº 13                                                  ;Bolvir                                  ;17539          ;GIRONA         ;972881786      ;ABS
ALP                       ;PG. AGNÈS FABRÓ, S/N                                                  ;Alp                                     ;17538          ;GIRONA         ;972890381      ;ABS
LLÍVIA                    ;C/ RAVAL, Nº 45                                                       ;Llívia                                  ;17527          ;GIRONA         ;972146213      ;ABS
D'ALL                     ;C/ PLAÇA MAJOR S/N                                                    ;Isòvol                                  ;17539          ;GIRONA         ;972894051      ;ABS
FONTANALS DE CERDANYA     ;C/ PUIGCERDÓ, Nº 1                                                    ;Fontanals de Cerdanya                   ;17538          ;GIRONA         ;972890381      ;ABS
CUNIT                     ;AVDA. DEL CASTEL, Nº 16                                               ;Cunit                                   ;43881          ;TARRAGONA      ;977676332      ;ABS
RANXOS DE BONANY          ;C/ RANXOS DE BONANY, S/N                                              ;Querol                                  ;43819          ;TARRAGONA      ;977638289      ;ABS
VALLFOGONA DE RIUCORB     ;CAMÍ DE SANT PERE, Nº 4                                               ;Vallfogona de Riucorb                   ;43427          ;TARRAGONA      ;977880000      ;ABS
SANTA COLOMA DE QUERALT   ;C/ SEGARRA, Nº 3                                                      ;Santa Coloma de Queral                  ;43420          ;TARRAGONA      ;977880778      ;ABS
SAVALLÓ DEL COMTAT        ;PL. MAJOR, Nº 1                                                       ;Savallà del Comtat                      ;43427          ;TARRAGONA      ;977880778      ;ABS
CONESA                    ;CTRA. ROCAFORT, Nº 15                                                 ;Conesa                                  ;43427          ;TARRAGONA      ;977898001      ;ABS
SANT LLORENÇ DE MORUNYS   ;PL. DE LES ERES, Nº 5                                                 ;Sant Llorenç de Moruny                  ;25282          ;LLEIDA         ;973492510      ;ABS
LA COMA I LA PEDRA        ;PL. AJUNTAMENT,S/N                                                    ;Coma i la Pedra, La                     ;25284          ;LLEIDA         ;973492378      ;ABS
NAVÈS                     ;CTRA. PANTÀ DE ST PONÇ - URB STA LLÚCIA                               ;Navès                                   ;25286          ;LLEIDA         ;973482553      ;ABS
SOLSONÈS                  ;PL. GUITART, Nº 1                                                     ;Solsona                                 ;25280          ;LLEIDA         ;973481172      ;ABS
CAMBRILS                  ;CTRA. COLL DE JOU - FONT D'ESPIA, KM 18                               ;Odèn                                    ;25283          ;LLEIDA         ;973489001      ;ABS
GÓSOL                     ;PL. MAJOR, Nº 1                                                       ;Gósol                                   ;25716          ;LLEIDA         ;973370201      ;ABS
BIOSCA                    ;C/ NOU, Nº 5                                                          ;Biosca                                  ;25752          ;LLEIDA         ;973473528      ;ABS
ARDÈVOL DE PINÓS          ;PL. MAJOR, S/N                                                        ;Pinós                                   ;25287          ;LLEIDA         ;973473292      ;ABS
TORÀ                      ;PL. DEL VALL, Nº 1                                                    ;Torà                                    ;25750          ;LLEIDA         ;973473333      ;ABS
LA MOLSOSA                ;PL. ESGLÉSIA, S/N                                                     ;Molsosa, La                             ;8281           ;LLEIDA         ;973296090      ;ABS
VIDRÀ                     ;PL. DE L'AJUNTAMENT, Nº 2, Nº BAIX                                    ;Vidrà                                   ;17515          ;GIRONA         ;938551255      ;ABS
VILADRAU                  ;C/ SANT ANTONI MARIA CLARET, Nº 4                                     ;Viladrau                                ;17406          ;GIRONA         ;938849402      ;ABS
ESPINELVES                ;C/ DE LES ESCOLES, S/N                                                ;Espinelves                              ;17405          ;GIRONA         ;938857368      ;ABS
CALELLA                   ;C/ SANT JAUME, Nº 209-217                                             ;Calella                                 ;8370           ;BARCELONA      ;937665950      ;ABS
SANT POL                  ;C/ SANTA CLARA, Nº 1                                                  ;Sant Pol de Mar                         ;8395           ;BARCELONA      ;937604818      ;ABS
SANT ISCLE DE VALLALTA    ;C/ ESGLÉSIA, Nº 5                                                     ;Sant Iscle de Vallalta                  ;8359           ;BARCELONA      ;937946089      ;ABS
CANET DE MAR              ;C/ PL. DE LA UNIVERSITAT, Nº 1                                        ;Canet de Mar                            ;8360           ;BARCELONA      ;937956676      ;ABS
SANT CEBRIÀ DE VALLALTA   ;C/ CENTRE, Nº 27                                                      ;Sant Cebrià de Vallalt                  ;8396           ;BARCELONA      ;937631475      ;ABS
PALAFOLLS                 ;C/ SINDICAT, S/N                                                      ;Palafolls                               ;8389           ;BARCELONA      ;937620453      ;ABS
DR. JOSEP TORNER I FORS (M;AV. DE LA COSTA BRAVA, S/N                                            ;Malgrat de Mar                          ;8380           ;BARCELONA      ;937619500      ;ABS
PINEDA DE MAR             ;C/ TARRAGONA, Nº 49                                                   ;Pineda de Mar                           ;08397          ;BARCELONA      ;937671647      ;ABS
SANTA SUSANNA             ;PL. CATALUNYA, S/N                                                    ;Pineda de Mar                           ;8398           ;BARCELONA      ;937678139      ;ABS
POBLENOU                  ;C/ EMPORDÓ, Nº 3                                                      ;Pineda de Mar                           ;8397           ;BARCELONA      ;937691598      ;ABS
FOGARS DE LA SELVA        ;CTRA. BV 15222, Nº KM 5                                               ;Fogars de la Selva                      ;8495           ;BARCELONA      ;937644025      ;ABS
TORDERA                   ;C/ DOCTOR CARRERAS, Nº 29                                             ;Tordera                                 ;8499           ;BARCELONA      ;937642790      ;ABS
LLES DE CERDANYA          ;PL. MAJOR, Nº 1                                                       ;Lles de Cerdanya                        ;25726          ;LLEIDA         ;973515047      ;ABS
LA SEU D'URGELL           ;PG. DE JOAN BRUDIEU, Nº 8                                             ;Seu d'Urgell, La                        ;25700          ;LLEIDA         ;973350470      ;ABS
CASTELLCIUTAT             ;C/ MARC COMES, Nº 6                                                   ;Seu d'Urgell, La                        ;25710          ;LLEIDA         ;973350935      ;ABS
TUIXÉN                    ;C/ ÚNIC, S/N. CASA METGE                                              ;Josa i Tuixén                           ;25717          ;LLEIDA         ;973370039      ;ABS
NOVES DE SEGRE            ;C/ ÚNIC, S/N                                                          ;Valls d'Aguilar, Les                    ;25795          ;LLEIDA         ;973387321      ;ABS
SORRIBES                  ;C/ ÚNIC, S/N                                                          ;Vansa i Fórnols, La                     ;25717          ;LLEIDA         ;973370301      ;ABS
BESCARAN                  ;C/ ÚNIC, S/N                                                          ;Valls de Valira, Les                    ;25719          ;LLEIDA         ;973350458      ;ABS
MONTFERRER                ;C/ ÚNIC, S/N                                                          ;Montferrer i Castellbò                  ;25711          ;LLEIDA         ;973350470      ;ABS
ARSÈGUEL                  ;C/ ÚNIC, S/N                                                          ;Arsèguel                                ;25722          ;LLEIDA         ;973387314      ;ABS
ESTAMARIU                 ;C/ ÚNIC, S/N                                                          ;Estamariu                               ;25719          ;LLEIDA         ;973351457      ;ABS
ADRALL                    ;C/ MAJOR, S/N                                                         ;Ribera d'Urgellet                       ;25797          ;LLEIDA         ;973387295      ;ABS
ARFA                      ;C/ ÚNIC, S/N                                                          ;Ribera d'Urgellet                       ;25713          ;LLEIDA         ;973387314      ;ABS
EL PLA DE SANT TIRS       ;PL. ERA BADIA, S/N                                                    ;Ribera d'Urgellet                       ;25796          ;LLEIDA         ;973387434      ;ABS
MONTAN DE TOST            ;C/ ÚNIC, S/N                                                          ;Ribera d'Urgellet                       ;25796          ;LLEIDA         ;973387105      ;ABS
PARROQUIA D'HORTÓ         ;C/ ÚNIC, S/N                                                          ;Ribera d'Urgellet                       ;25714          ;LLEIDA         ;973350470      ;ABS
MONTELLÓ I MARTINET       ;C/ CERDANYA, Nº 1                                                     ;Montellà i Martinet                     ;25724          ;LLEIDA         ;973515132      ;ABS
ALÀS                      ;C/ MAJOR, S/N                                                         ;Alàs i Cerc                             ;25718          ;LLEIDA         ;973360645      ;ABS
PERAMOLA                  ;C/ FEDERIC RIBÓ, S/N                                                  ;Peramola                                ;25790          ;LLEIDA         ;973470272      ;ABS
ALINYÀ                    ;PL. VALL PLA, S/N                                                     ;Fígols i Alinyà                         ;25794          ;LLEIDA         ;973370087      ;ABS
ORGANYÀ                   ;C/ MAJOR, Nº 38                                                       ;Organyà                                 ;25794          ;LLEIDA         ;973382099      ;ABS
OLIANA                    ;C/GIRONA, Nº 8                                                        ;Oliana                                  ;25790          ;LLEIDA         ;973463022      ;ABS
FÍGOLS                    ;C/ ESGLÉSIA, S/N                                                      ;Fígols i Alinyà                         ;25794          ;LLEIDA         ;973383100      ;ABS
COLL DE NARGÓ             ;PL. AJUNTAMENT, S/N                                                   ;Coll de Nargó                           ;25793          ;LLEIDA         ;973383552      ;ABS
TRAGÓ                     ;PL. ESCOLA, S/N                                                       ;Peramola                                ;25790          ;LLEIDA         ;973350470      ;ABS
OGERN                     ;CTRA. SOLSONA, S/N                                                    ;Bassella                                ;25289          ;LLEIDA         ;973462779      ;ABS
SENET                     ;C/ ÚNIC, S/N                                                          ;Vilaller                                ;25553          ;LLEIDA         ;973697060      ;ABS
VILALLER                  ;CARRE JOAN MIRÓ, S/N                                                  ;Vilaller                                ;25552          ;LLEIDA         ;973697060      ;ABS
EL PONT DE SUERT          ;C/ CANALETA, S/N                                                      ;Pont de Suert, El                       ;25520          ;LLEIDA         ;973691159      ;ABS
LLESP                     ;C/ ÚNIC, S/N                                                          ;Pont de Suert, El                       ;25526          ;LLEIDA         ;973690005      ;ABS
MALPÀS                    ;C/ ÚNIC, S/N                                                          ;Pont de Suert, El                       ;25520          ;LLEIDA         ;973690005      ;ABS
