Nombre;Dirección;Municipio;Código Postal;Provincia;Teléfono
Centre Sociosanitari Can Torras                                          ;CT EL MASNOU A ALELLA, .1                                         ;Alella                 ;08328                    ;BARCELONA             ;935551994          
Sant Joan de Déu Terres de Lleida                                        ;CT N-240, .111                                                    ;Almacelles             ;25100                    ;LLEIDA                ;973740010          
Residència Terraferma                                                    ;CR Partida del Graó, S/N                                          ;Alpicat                ;25110                    ;LLEIDA                ;973737455          
Centre Polivalent Can Fosc                                               ;CT DE LLERONA, S/N                                                ;Ametlla del Vallès, L' ;08480                    ;BARCELONA             ;938432786          
Hospital Comarcal d'Amposta                                              ;CR JACINT VERDAGUER, 11                                           ;Amposta                ;43870                    ;TARRAGONA             ;977700050          
Unitat Polivalent en Salut Mental d'Amposta                              ;CR Amèrica, 15                                                    ;Amposta                ;43870                    ;TARRAGONA             ;977338565          
Comunitat Terapèutica Arenys de Munt                                     ;"CT Barri Orient  \""CAN ZARIQUIEY\                                 ";Arenys de Munt         ;" 26""                     ";BARCELONA             ;08358              
ITA Maresme                                                              ;CR Baró de Viver, 58                                              ;Argentona              ;08310                    ;BARCELONA             ;937530062          
Institut Català d'Oncologia Badalona (ICO)                               ;CT CANYET, S/N                                                    ;Badalona               ;08916                    ;BARCELONA             ;934651200          
Institut Guttmann                                                        ;CM CAN RUTI, S/N                                                  ;Badalona               ;08916                    ;BARCELONA             ;934977700          
Hospital Universitari Germans Trias i Pujol de Badalona                  ;CT CANYET, S/N                                                    ;Badalona               ;08916                    ;BARCELONA             ;934651200          
Hospital Municipal de Badalona                                           ;VI AUGUSTA, 9                                                     ;Badalona               ;08911                    ;BARCELONA             ;934648300          
Centre Sociosanitari El Carme                                            ;CM SANT JERONI DE LA MURTRA, 60                                   ;Badalona               ;08917                    ;BARCELONA             ;935074710          
Hestia Balaguer                                                          ;CR Gregori Gallego, 22-28                                         ;Balaguer               ;25600                    ;LLEIDA                ;973450304          
Clínica Salus Infirmorum                                                 ;PS Mossèn Lluís Constans, 130                                     ;Banyoles               ;17820                    ;GIRONA                ;972570208          
