Nombre;Dirección;Municipio;Código Postal;Teléfono
BERTRAN AMBROS, ROSA MARIA                           ;CARRER   SANT JORDI               11;PUIG-REIG                 ;08692          ;938290385      
ABRIL GARCIA, MARIA                                  ;RIERA    BISBE POL                72;ARENYS DE MAR             ;08350          ;937923301      
RIGOLA GARROFE, DOL�A                                ;PLA�A    ESGLESIA                 3;ARENYS DE MAR             ;08350          ;937920237      
MIAS NAVARRO, MIREIA                                 ;RAMBLA   SANT MARTI               56;ARENYS DE MUNT            ;08358          ;937938201      
GUILLEN VIDAL, M NURIA                               ;CARRER   GRAN                     22;ARGENTONA                 ;08310          ;937971262      
BOIXAREU CARRERA,M.ANGELS                            ;CARRER   ROCAFORT                 26;ARTES                     ;08271          ;938305265      
MIMO CALLIS, LLUIS                                   ;CARRETERARIBES                    25;AIGUAFREDA                ;08591          ;938440809      
JOFRESA PRATS, E/PORTILLO SAAVEDRA, P                ;CARRER   PRIM                     156;BADALONA                  ;08911          ;933840455      
JIMENEZ GONZALEZ/GONZALEZ NU�EZ                      ;CARRER   CANONGE BARANERA         60;BADALONA                  ;08911          ;933840453      
AGUILAR CALVO, ADELA                                 ;CARRER   FRANCESC LAYRET          83;BADALONA                  ;08911          ;933895208      
SALLA CLAROS, JOSEPA                                 ;AVINGUDA MARQUES DE SANT MORI     16 bis;BADALONA                  ;08913          ;933887301      
FAURA MONGUIO,MONTSERRAT                             ;AVINGUDA ALFONS XIII              256;BADALONA                  ;08915          ;933870343      
BOSCASA SANCHEZ-PASCUALA, EVA                        ;AVINGUDA ALFONS XIII              615;BADALONA                  ;08913          ;933873194      
PRAT MONGUIO, SALOME                                 ;PLA�A    PEP VENTURA              3;BADALONA                  ;08912          ;933872193      
PRAT MARTORI, ANNA                                   ;CARRER   FRANCESC MACIA           94-96;BADALONA                  ;08912          ;933870647      
BERNAT BARRIGA, M.MONTSERRAT                         ;CARRER   CONQUESTA                53;BADALONA                  ;08912          ;933842906      
VALERO BARLABE, FRANCESC X.                          ;CARRER   GUIFRE                   184;BADALONA                  ;08912          ;933830657      
GARCIA-VELA GRACE, MARTA                             ;CARRER   PIUS XII                 1-7;BADALONA                  ;08913          ;933876154      
SEGARRA DOLSET, SILVIA                               ;AVINGUDA ALFONS  XIII             555;BADALONA                  ;08918          ;933872749      
SERENTILL TOST, SALVADOR                             ;CARRER   MAR                      23;BADALONA                  ;08911          ;933841233      
TORRAS SURROCA, SARA M                               ;CARRER   MAR                      76;BADALONA                  ;08911          ;933845614      
FERRER FONT,M/ CLAPES ARQUER, A.M.                   ;AVINGUDA MARTI PUJOL              133;BADALONA                  ;08912          ;933844806      
IGLESIAS LLAGOSTERA, ALBERT                          ;CARRETERABERGA                    2;BALSARENY                 ;08660          ;938396128      
COSP BOIXADER, MARIA                                 ;PASSEIG  DE LA PAU                55;BERGA                     ;08600          ;938210125      
VILA CALONGE MA. CRISTINA                            ;CARRER   CIUTAT                   41;BERGA                     ;08600          ;938210518      
SAZ CARAZO, NEUS                                     ;AVINGUDA DEL CANAL INDUSTRIAL     14-18;BERGA                     ;08600          ;938210135      
ALVAREZ DE LA CAMPA FAYOS,ALVAR                      ;CARRER   GRAN VIA                 28;BERGA                     ;08600          ;938210402      
FONT SABALA, MERITXELL                               ;PASSEIG  SANTA CALAMANDA          7;CALAF                     ;08280          ;938698506      
CODINA SAMPERA, SALVADOR                             ;CARRER   FORN                     7;CALDES DE MONTBUI         ;08140          ;938650097      
TIBAU MAYNOU,RAFEL                                   ;AVINGUDA PI I MARGALL             36-38;CALDES DE MONTBUI         ;08140          ;938650146      
AREALES VERA, CESAREO                                ;CARRER   LA RIERA                 20;CALDES D'ESTRAC           ;08393          ;937912732      
NOE NADAL, AGUSTI                                    ;CARRER   ESGLESIA                 116;CALELLA                   ;08370          ;937690791      
MARTINEZ ALVAREZ, EMILIO                             ;RIERA    GAVARRA                  23;CANET DE MAR              ;08360          ;937940045      
CODINA SABATER, MARTA                                ;PLA�A    VERDAGUER                3;CAPELLADES                ;08786          ;938010082      
AUQUE REGA�O, BERNAT                                 ;CARRER   SANT ANTONI              11;CARDEDEU                  ;08440          ;938461071      
FORES JOVER, MARIA CINTA                             ;CARRER   DIAGONAL FIVALLER        8;CARDEDEU                  ;08440          ;938461169      
SALA  ESTEBAN, JOSEP M.                              ;CARRER   DEL CAMBRAS              5;CARDONA                   ;08261          ;938691165      
SALA QUERALT,MANUEL/SALA ARNAU,MARIA                 ;PLA�A    MERCAT                   1;CARDONA                   ;08261          ;938691049      
RODRIGUEZ YANG�ELA, TANIA                            ;CARRER   TORRAS                   2;CASTELLAR DEL VALLES      ;08211          ;937145289      
ROS CASANOVAS, ROSALINA                              ;AVINGUDA SANT ESTEVE              3;CASTELLAR DEL VALLES      ;08211          ;937145233      
ESCUDERO MARTINEZ, PASCUAL/ESCUDERO PORTERA,MONICA   ;PLA�A    ESGLESIA                 8;CASTELLBISBAL             ;08755          ;937720134      
CARRION RIBAS, JOAN ANTON                            ;CARRER   DE MIG                   1;CASTELLTER�OL             ;08183          ;938668033      
GUILLERMO MARTINEZ, ANTONIO                          ;AVINGUDA CATALUNYA                4B;CASTELLBELL I EL VILAR    ;08296          ;938282179      
